% Model:              prototipo thgem_Garfield_2_1_light_3.mph
% Version:            COMSOL 5.1.0.234
% Date:               Sep 30 2020, 18:40
% Dimension:          3
% Nodes:              14326
% Expressions:        1
% Description:        Electric potential
% Length unit:        mm
% x             y              z              V (V)
0.017769        0.11187        0.85013        -190.80
0.035537        0.11187        0.83362        -189.79
0.035537        0.11187        0.86665        -191.82
0.017769        0.082498       0.83388        -189.80
0.052769        0.081123       0.83411        -189.82
0.052768        0.11187        0.88510        -192.95
0.070000        0.11187        0.87052        -192.05
0.070000        0.11187        0.90393        -194.10
0.070000        0.081923       0.88859        -193.16
0.070000        0.081123       0.85256        -190.95
0.052769        0.11187        0.85207        -190.92
0.0000          0.11187        0.79747        -187.57
0.017769        0.11187        0.81555        -188.68
0.0000          0.11187        0.83205        -189.69
-1.9138E-18     0.082498       0.81580        -188.69
0.0000          -0.0093782     0.83674        -189.98
0.0000          -0.0093782     0.80312        -187.92
-1.9138E-18     0.021876       0.81863        -188.87
0.017196        -0.0093782     0.82602        -189.32
0.035000        -0.0093782     0.80026        -187.74
0.035000        0.020501       0.81886        -188.88
0.035000        0.020400       0.78508        -186.81
0.070000        0.050177       0.76703        -185.70
0.070000        0.020400       0.78222        -186.63
0.017418        -0.0093782     0.77749        -186.34
0.052418        0.020400       0.75944        -185.24
0.052418        -0.0093782     0.77462        -186.17
0.034837        -0.0093782     0.75185        -184.77
0.035000        0.051654       0.80058        -187.76
0.070000        0.050279       0.80082        -187.78
-1.9112E-18     0.021834       0.78481        -186.79
-3.8250E-18     0.053089       0.80032        -187.74
0.035000        0.051612       0.76677        -185.69
-3.8225E-18     0.053047       0.76650        -185.67
0.017418        0.021834       0.75917        -185.22
0.070000        -0.0093782     0.76280        -185.44
0.070000        0.020400       0.74762        -184.51
0.070000        -0.0093782     0.72821        -183.32
0.052418        -0.0093782     0.74003        -184.04
0.052769        0.081021       0.80033        -187.75
0.035572        0.11187        0.76642        -185.66
0.017786        0.11187        0.78194        -186.62
0.017786        0.082498       0.80028        -187.74
0.035555        0.11187        0.80002        -187.73
0.052786        0.081021       0.76673        -185.68
0.017786        0.082456       0.76646        -185.67
-1.9112E-18     0.082456       0.78198        -186.62
0.052786        0.11187        0.78489        -186.80
0.070000        0.11187        0.80336        -187.93
0.052769        0.11187        0.81849        -188.86
0.070000        0.081021       0.78519        -186.82
0.070000        0.11187        0.83694        -189.99
0.070000        0.081123       0.81898        -188.89
0.0000          0.11187        0.72830        -183.32
0.017786        0.11187        0.74736        -184.49
0.0000          0.11187        0.76288        -185.45
-1.9112E-18     0.082456       0.74740        -184.50
0.0000          -0.0093782     0.76950        -185.85
0.0000          -0.0093782     0.73588        -183.79
-1.9112E-18     0.021834       0.75119        -184.73
0.017418        -0.0093782     0.74386        -184.28
0.017261        -0.0093782     0.71576        -182.55
-1.8992E-18     0.021638       0.71637        -182.59
0.034522        -0.0093782     0.69563        -181.32
0.017261        0.021638       0.69625        -181.36
-3.7984E-18     0.052655       0.69687        -181.40
0.034679        -0.0093782     0.72374        -183.04
0.017418        0.021638       0.72436        -183.08
-3.8104E-18     0.052851       0.73168        -183.53
0.070000        0.050077       0.73277        -183.60
0.035000        0.051512       0.73250        -183.58
0.070000        0.049976       0.69850        -181.50
0.052418        0.020299       0.72518        -183.13
0.070000        0.020299       0.71335        -182.41
0.052261        -0.0093782     0.71192        -182.32
0.052261        0.020299       0.69707        -181.41
0.070000        -0.0093782     0.69361        -181.20
0.070000        -0.0093782     0.65901        -179.07
0.052261        -0.0093782     0.67732        -180.20
0.070000        0.020299       0.67876        -180.28
0.052786        0.080921       0.73246        -183.58
0.035000        0.051315       0.69768        -181.45
0.035561        0.11187        0.73302        -183.61
0.052775        0.080921       0.69906        -181.53
0.017775        0.082456       0.73306        -183.62
0.035549        0.11187        0.69962        -181.56
0.017775        0.082260       0.69824        -181.48
0.017775        0.11187        0.71396        -182.44
-1.8992E-18     0.082260       0.71258        -182.36
0.052786        0.11187        0.75131        -184.74
0.070000        0.11187        0.73619        -183.81
0.070000        0.080921       0.71735        -182.65
0.052775        0.11187        0.71790        -182.69
0.070000        0.11187        0.76977        -185.87
0.070000        0.081021       0.75161        -184.76
0.0000          0.11187        0.65913        -179.08
0.017775        0.11187        0.67937        -180.32
0.0000          0.11187        0.69371        -181.20
-1.8992E-18     0.082260       0.67800        -180.24
0.0000          -0.0093782     0.70225        -181.73
0.017261        -0.0093782     0.68213        -180.49
0.0000          -0.0093782     0.66863        -179.66
-1.8992E-18     0.021638       0.68275        -180.53
-1.8670E-18     0.021111       0.64859        -178.43
-3.7662E-18     0.052128       0.66271        -179.30
0.017261        0.021111       0.66209        -179.26
-3.7339E-18     0.051601       0.62855        -177.20
0.017362        -0.0093782     0.64886        -178.45
0.034623        -0.0093782     0.66237        -179.28
0.034724        -0.0093782     0.62910        -177.24
0.017362        0.021111       0.62882        -177.22
0.052261        0.019573       0.66349        -179.35
0.070000        0.048525       0.63134        -177.37
0.035000        0.050590       0.66410        -179.38
0.070000        0.049251       0.66492        -179.43
0.035000        0.050063       0.62994        -177.29
